code.ID,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,temp
4688,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.52
4689,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.46
4690,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.4
4691,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.32
4692,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.24
4693,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.17
4694,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,33.21
4695,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,33.13
4696,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.18
4697,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.16
4698,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.14
4699,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.12
4700,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.11
4701,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.1
4702,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.09
4703,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.08
4704,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.08
4705,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.08
4706,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.07
4707,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.06
4708,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.05
4709,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.05
4710,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.05
4711,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.05
4712,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.06
4713,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.06
4714,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,31.05
4715,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,30.99
11,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.04
12,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.27
13,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.99
14,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.06
15,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.97
16,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.02
17,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.08
18,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.38
19,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.29
20,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.87
21,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.85
22,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.09
23,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.17
24,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.84
25,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.15
26,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.33
27,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.19
28,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.22
29,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,27.25
30,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.81
31,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.44
32,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.39
33,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.43
34,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.81
35,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.33
36,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.32
37,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.81
38,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.81
39,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.58
40,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.82
41,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.47
